student@gmail.com,ccms,,
piotr@cc.com,neighbourhood,,
adam@cc.com,mvc,,
michal@cc.com,geometry,,
adam@cc.com,Tic Tac Toe,,-3
ewa@cc.com,Tic Tac Toe,,
michal@cc.com,Tic Tac Toe,,
adam@cc.com,Hello world!,,
ewa@cc.com,Hello world!,,
michal@cc.com,Hello world!,,
adam@cc.com,Ccms,,
ewa@cc.com,Ccms,,
michal@cc.com,Ccms,,
tomasz@cc.com,MVC,,
magda@cc.com,MVC,,
grzegorz@cc.com,MVC,,
justyna@cc.com,MVC,,
tomasz@cc.com,Canvas,,
magda@cc.com,Canvas,github.com/magda/calc,
grzegorz@cc.com,Canvas,,
justyna@cc.com,Canvas,,
tomasz@cc.com,Calculator,,
magda@cc.com,Calculator,github.com/magda/calculator,0
grzegorz@cc.com,Calculator,,
justyna@cc.com,Calculator,,
